Analyst,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes,Starch Present?,PAD #,Date Analyzed,Comments
1.0,T33-GSFK ,Amoxicillin,Amoxicillin,Amoxicillin,,,34754.0,20/9/2018,
2.0,T33-GCB8 ,Amoxicillin,Amoxicillin,Amoxicillin,,,33782.0,21/8/2018,
3.0,T33-H8DK ,Amoxicillin,Amoxicillin,Amoxicillin,,,34768.0,20/9/2018,
4.0,T33-4AJI ,Amoxicillin,Amoxicillin,Amoxicillin,,,34723.0,20/9/2018,
5.0,T33-RM3A ,Amoxicillin,Amoxicillin,Amoxicillin,,,34632.0,20/9/2018,
6.0,T33-7VGC ,Amoxicillin,Amoxicillin,Amoxicillin,,,34770.0,20/9/2018,
7.0,T33-0PLR ,Amoxicillin,Amoxicillin,Amoxicillin,,,34753.0,20/9/2018,
8.0,T33-QTAG ,Amoxicillin,Amoxicillin,Amoxicillin,,,34841.0,9/9/2018,
9.0,T33-SDE5 ,Amoxicillin,Amoxicillin,Amoxicillin,,,34633.0,20/9/2018,
10.0,T33-UVSY ,Amoxicillin,Amoxicillin,Amoxicillin,,,34771.0,20/9/2018,
11.0,T33-5V78 ,Amoxicillin,Amoxicillin,Amoxicillin,,,32102.0,21/9/2018,
12.0,T33-HA6Q ,Amoxicillin,Amoxicillin,Amoxicillin,,,33783.0,21/8/2018,
13.0,T33-YZWN ,Amoxicillin,Amoxicillin,Amoxicillin,,,34721.0,20/9/2018,
14.0,T33-GD6A ,Amoxicillin,Amoxicillin,Amoxicillin,,,34757.0,20/9/2018,
15.0,T33-X08G ,Amoxicillin,Amoxicillin,Amoxicillin,,,34769.0,20/9/2018,
16.0,T33-TXX2 ,Amoxicillin,Lactose,Suspicious,B,,33768.0,21/8/2018,
17.0,T33-YGIJ ,Amoxicillin,Lactose,Suspicious,B,,34636.0,20/9/2018,
18.0,T33-JZTB ,Amoxicillin,Lactose,Suspicious,B,,34756.0,20/9/2018,
19.0,T33-Z3AE ,Amoxicillin,Vitamin C,Suspicious,B,,34726.0,20/9/2018,
20.0,T33-E75V ,Amoxicillin,Vitamin C,Suspicious,B,,32102.0,21/9/2018,
21.0,T33-GETE ,Amoxicillin,Vitamin C,Suspicious,B,,34840.0,9/9/2018,
22.0,T33-DE1O ,Amoxicillin,Vitamin C,Suspicious,B,,33770.0,21/8/2018,
23.0,T33-EITC ,Amoxicillin,Vitamin C,Suspicious,B,,34722.0,20/9/2018,
24.0,T33-A9I7 ,Amoxicillin,Vitamin C,Suspicious,B,,34847.0,9/9/2018,
25.0,T33-CXN3 ,Amoxicillin,Vitamin C,Suspicious,B,,34758.0,21/9/2018,
26.0,T33-EYY4 ,Amoxicillin,Vitamin C,Suspicious,B,,34752.0,21/9/2018,
27.0,T33-R22O ,Amoxicillin,Vitamin C,Suspicious,B,,34720.0,20/9/2018,
28.0,T33-1GC7 ,Amoxicillin,Starch,Suspicious,B,Yes,34639.0,20/9/2018,
29.0,T33-SDJE ,Amoxicillin,Starch,Suspicious,B,Yes,34725.0,20/9/2018,
30.0,T33-UVUL ,Amoxicillin,Starch,Suspicious,B,Yes,34842.0,9/9/2018,
31.0,T33-EVGO ,Paracetamol,Paracetamol,Paracetamol,,,33742.0,15/8/2018,
32.0,T33-8C0B ,Paracetamol,Paracetamol,Paracetamol,,,32963.0,21/9/2018,
33.0,T33-02D5 ,Paracetamol,Paracetamol,Paracetamol,,,32187.0,6/9/2018,
34.0,T33-T33UV ,Paracetamol,Paracetamol,Paracetamol,,,32097.0,21/9/2018,
35.0,T33-I4RM ,Paracetamol,Paracetamol,Paracetamol,,,33743.0,15/8/2018,
36.0,T33-EDF5 ,Paracetamol,Paracetamol,Paracetamol,,,32100.0,21/9/2018,
37.0,T33-LO5W ,Paracetamol,Paracetamol,Paracetamol,,,32113.0,21/9/2018,
38.0,T33-JW5E ,Paracetamol,Paracetamol,Suspicious,K,,32091.0,21/9/2018,
39.0,T33-F64D ,Paracetamol,Paracetamol,Paracetamol,,,32196.0,6/9/2018,
40.0,T33-K57J ,Paracetamol,Paracetamol,Paracetamol,,,33795.0,15/8/2018,
41.0,T33-OTZD ,Paracetamol,Paracetamol,Suspicious,K,,32188.0,6/9/2018,
42.0,T33-OJ6V ,Paracetamol,Paracetamol,Suspicious,K,,32964.0,21/9/2018,
43.0,T33-EW3E ,Paracetamol,Paracetamol,Suspicious,K,,32092.0,21/9/2018,
44.0,T33-1DZ9 ,Paracetamol,Paracetamol,Paracetamol,,,32094.0,21/9/2018,
45.0,T33-ZRRF ,Paracetamol,Paracetamol,Suspicious,K,,32112.0,21/9/2018,
46.0,T33-5QJA ,Paracetamol,Lactose,Suspicious,K,,32096.0,21/9/2018,
47.0,T33-BQ0H ,Paracetamol,Lactose,Paracetamol,,,32186.0,6/9/2018,
48.0,T33-7999 ,Paracetamol,Lactose,Suspicious,K,,32117.0,21/9/2018,
49.0,T33-8EGR ,Paracetamol,Cellulose,Suspicious,K,,32185.0,6/9/2018,
50.0,T33-EZFU ,Paracetamol,Cellulose,Suspicious,K,,32093.0,21/9/2018,
51.0,T33-ZF1M ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,33741.0,15/8/2018,
52.0,T33-9UGD ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,32095.0,21/9/2018,
53.0,T33-0TDJ ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,32098.0,21/9/2018,
54.0,T33-3W0O ,Paracetamol,Starch,Suspicious,K,Yes,33735.0,15/8/2018,
55.0,T33-Y4W0 ,Paracetamol,Starch,Suspicious,K,Yes,33740.0,15/8/2018,
56.0,T33-155Q ,Paracetamol,Vitamin C,Paracetamol,,,33798.0,15/8/2018,
57.0,T33-X22J ,Paracetamol,Vitamin C,Paracetamol,,,33796.0,15/8/2018,
58.0,T33-U1L6 ,Paracetamol,Vitamin C,Paracetamol,,,32116.0,21/9/2018,
59.0,T33-0RJF ,Paracetamol,Vitamin C,Paracetamol,,,33797.0,15/8/2018,
60.0,T33-8BGS ,Paracetamol,Vitamin C,Paracetamol,,,32114.0,21/9/2018,
61.0,T33-INTB ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34974.0,14/8/2018,
62.0,T33-AEGQ ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32962.0,21/9/2018,
63.0,T33-25HP ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34944.0,14/8/2018,
64.0,T33-J674 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32960.0,21/9/2018,
65.0,T33-827N ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34971.0,14/8/2018,
66.0,T33-DSOA ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34972.0,14/8/2018,
67.0,T33-EOAD ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34976.0,14/8/2018,
68.0,T33-8E0A ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34834.0,6/9/2018,
69.0,T33-GVEB ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34970.0,14/8/2018,
70.0,T33-HAPH ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32121.0,21/9/2018,
71.0,T33-1IST ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32120.0,21/9/2018,
72.0,T33-YVHF ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,32198.0,6/9/2018,
73.0,T33-VX48 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34833.0,6/9/2018,
74.0,T33-AI7A ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34947.0,14/8/2018,
75.0,T33-U20H ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34874.0,6/9/2018,
76.0,T33-E7I5 ,Benzyl Penicillin,Penicillin Procaine,Benzyl Penicillin,,,34832.0,6/9/2018,
77.0,T33-H00H ,Benzyl Penicillin,Vitamin C,Suspicious,F,,32118.0,21/9/2018,
78.0,T33-CZSK ,Benzyl Penicillin,Vitamin C,Suspicious,F,,34969.0,14/8/2018,
79.0,T33-OSP5 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,32184.0,6/9/2018,
80.0,T33-217U ,Benzyl Penicillin,Vitamin C,Suspicious,F,,34875.0,6/9/2018,
