Analyst,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes,Starch Present?,PAD #,Date Analyzed,Comments
1.0,T23-3PXM ,Amoxicillin,Amoxicillin,Amoxicillin,,,30525.0,9/8/2018,
2.0,T23-PW9D ,Amoxicillin,Amoxicillin,Amoxicillin,,,31690.0,1/9/2018,
3.0,T23-HO0V ,Amoxicillin,Amoxicillin,Amoxicillin,,,33622.0,23/8/2018,
4.0,T23-ACMJ ,Amoxicillin,Amoxicillin,Amoxicillin,,,30524.0,11/8/2018,
5.0,T23-6C9F ,Amoxicillin,Amoxicillin,Amoxicillin,,,33631.0,23/8/2018,
6.0,T23-JVUX ,Amoxicillin,Amoxicillin,Amoxicillin,,,33623.0,23/8/2018,
7.0,T23-S7VI ,Amoxicillin,Amoxicillin,Amoxicillin,,,34247.0,10/8/2018,
8.0,T23-3RL3 ,Amoxicillin,Amoxicillin,Amoxicillin,,,31691.0,1/9/2018,
9.0,T23-LLNP ,Amoxicillin,Amoxicillin,Amoxicillin,,,32025.0,1/9/2018,
10.0,T23-WHBR ,Amoxicillin,Amoxicillin,Amoxicillin,,,32975.0,13/8/2018,
11.0,T23-SCES ,Amoxicillin,Amoxicillin,Amoxicillin,,,30467.0,20/8/2018,
12.0,T23-0JVM ,Amoxicillin,Amoxicillin,Amoxicillin,,,32020.0,1/9/2018,
13.0,T23-4XAP ,Amoxicillin,Amoxicillin,Amoxicillin,,,33633.0,23/8/2018,
14.0,T23-9DZ9 ,Amoxicillin,Amoxicillin,Amoxicillin,,,34249.0,11/8/2018,
15.0,T23-IR70 ,Amoxicillin,Amoxicillin,Amoxicillin,,,32974.0,12/8/2018,
16.0,T23-A769 ,Amoxicillin,Lactose,Suspicious,B,,30103.0,10/8/2018,
17.0,T23-BHTM ,Amoxicillin,Lactose,Suspicious,B,,34243.0,11/8/2018,
18.0,T23-XCU7 ,Amoxicillin,Lactose,Suspicious,B,,32026.0,1/9/2018,
19.0,T23-XW4B ,Amoxicillin,Vitamin C,Suspicious,B,,31692.0,2/9/2018,
20.0,T23-TQIX ,Amoxicillin,Vitamin C,Suspicious,B,,34253.0,13/8/2018,
21.0,T23-LDVX ,Amoxicillin,Vitamin C,Suspicious,B,,30469.0,16/8/2018,
22.0,T23-KZB2 ,Amoxicillin,Vitamin C,Suspicious,B,,34246.0,20/8/2018,
23.0,T23-11OG ,Amoxicillin,Vitamin C,Suspicious,B,,34244.0,17/8/2018,
24.0,T23-Y0ZQ ,Amoxicillin,Vitamin C,Suspicious,B,,33632.0,23/8/2018,
25.0,T23-TKHH ,Amoxicillin,Vitamin C,Suspicious,B,,30095.0,11/8/2018,
26.0,T23-7NV3 ,Amoxicillin,Vitamin C,Suspicious,B,,34250.0,19/8/2018,
27.0,T23-251F ,Amoxicillin,Paracetamol Starch,Suspicious,B,,31693.0,2/9/2018,
28.0,T23-P6WL ,Amoxicillin,Paracetamol Starch,Suspicious,B,,31694.0,1/9/2018,
29.0,T23-OZ9S ,Amoxicillin,Starch,Suspicious,B,Yes,30089.0,20/8/2018,
30.0,T23-PDVD ,Amoxicillin,Starch,Suspicious,B,,32024.0,3/9/2018,
31.0,T23-I10P ,Paracetamol,Paracetamol,Paracetamol,,,30522.0,9/8/2018,
32.0,T23-5HR8 ,Paracetamol,Paracetamol,Paracetamol,,,34707.0,19/9/2018,
33.0,T23-U2HB ,Paracetamol,Paracetamol,Paracetamol,,,34254.0,10/8/2018,
34.0,T23-P8L8 ,Paracetamol,Paracetamol,Paracetamol,,,34663.0,20/9/2018,
35.0,T23-9AJ6 ,Paracetamol,Paracetamol,Paracetamol,,,30088.0,12/8/2018,
36.0,T23-HA1X ,Paracetamol,Paracetamol,Paracetamol,,,34735.0,21/9/2018,
37.0,T23-F5JA ,Paracetamol,Paracetamol,Paracetamol,,,33641.0,23/8/2018,
38.0,T23-RI7C ,Paracetamol,Paracetamol,Paracetamol,,,33634.0,23/8/2018,
39.0,T23-RW07 ,Paracetamol,Paracetamol,Paracetamol,,,33638.0,23/8/2018,
40.0,T23-27R3 ,Paracetamol,Paracetamol,Paracetamol,,,34656.0,17/9/2018,
41.0,T23-PAAS ,Paracetamol,Paracetamol,Paracetamol,,,34734.0,22/9/2018,
42.0,T23-CQWP ,Paracetamol,Paracetamol,Paracetamol,,,34732.0,21/9/2018,
43.0,T23-R60O ,Paracetamol,Paracetamol,Paracetamol,,,34661.0,20/9/2018,
44.0,T23-0KCE ,Paracetamol,Paracetamol,Paracetamol,,,34728.0,20/9/2018,
45.0,T23-0NKK ,Paracetamol,Paracetamol,Paracetamol,,,30100.0,8/8/2018,
46.0,T23-GXXT ,Paracetamol,Paracetamol,Paracetamol,,,33637.0,24/8/2018,
47.0,T23-3FYI ,Paracetamol,Paracetamol,Paracetamol,,,30092.0,9/8/2018,
48.0,T23-8S95 ,Paracetamol,Paracetamol,Paracetamol,,,34658.0,21/9/2018,
49.0,T23-TZDY ,Paracetamol,Lactose,Paracetamol,,,30574.0,19/8/2018,
50.0,T23-15AC ,Paracetamol,Lactose,Paracetamol,,,33639.0,23/8/2018,
51.0,T23-79LI ,Paracetamol,Paracetamol Starch,Paracetamol,,,34706.0,21/9/2018,
52.0,T23-GAYW ,Paracetamol,Paracetamol Starch,Paracetamol,,,34657.0,22/9/2018,
53.0,T23-DGP2 ,Paracetamol,Paracetamol Starch,Paracetamol,,,33635.0,23/8/2018,
54.0,T23-4YG2 ,Paracetamol,Starch,Suspicious,K,Yes,30093.0,17/8/2018,
55.0,T23-9UT9 ,Paracetamol,Vitamin C,Paracetamol,,,30466.0,16/8/2018,
56.0,T23-DO86 ,Paracetamol,Vitamin C,Suspicious,K,,34662.0,20/9/2018,
57.0,T23-GEKV ,Paracetamol,Vitamin C,Paracetamol,,,34660.0,21/9/2018,
58.0,T23-RH05 ,Paracetamol,Vitamin C,Paracetamol,,,30523.0,11/8/2018,
59.0,T23-XFKK ,Paracetamol,Cellulose,Suspicious,K,,34733.0,19/9/2018,
60.0,T23-ABEN ,Paracetamol,Cellulose,Paracetamol,,,33636.0,24/8/2018,
61.0,T23-3WC8 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35451.0,24/8/2018,
62.0,T23-HG6V ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,30468.0,9/8/2018,
63.0,T23-GS0G ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,30097.0,20/8/2018,
64.0,T23-UTDG ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,30098.0,15/8/2018,
65.0,T23-RJQV ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35452.0,24/8/2018,
66.0,T23-K8KE ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35447.0,26/8/2018,
67.0,T23-NNGH ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35449.0,29/8/2018,
68.0,T23-MODK ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34709.0,21/9/2018,
69.0,T23-OML1 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34705.0,19/9/2018,
70.0,T23-CI3E ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35454.0,25/8/2018,
71.0,T23-1T23B ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35036.0,22/9/2018,
72.0,T23-1LLN ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35450.0,24/8/2018,
73.0,T23-V0IB ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35435.0,16/8/2018,
74.0,T23-Y0WK ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,34710.0,20/9/2018,
75.0,T23-RHBO ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,30515.0,14/8/2018,
76.0,T23-Q68T ,Benzyl Penicillin,Penicillin Procaine,Benzyl Penicillin,,,35434.0,20/8/2018,
77.0,T23-H6KR ,Benzyl Penicillin,Starch,Suspicious,F,Yes,30471.0,29/8/2018,
78.0,T23-OLOW ,Benzyl Penicillin,Vitamin C,Suspicious,F,,35035.0,22/9/2018,
79.0,T23-XKCA ,Benzyl Penicillin,Vitamin C,Suspicious,F,,34252.0,13/8/2018,
80.0,T23-KLOF ,Benzyl Penicillin,Vitamin C,Suspicious,F,,35455.0,25/8/2018,
81.0,T23-1RSM ,Benzyl Penicillin,Vitamin C,Suspicious,F,,35448.0,25/8/2018,
82.0,T23-FS3W ,Benzyl Penicillin,Vitamin C,Suspicious,F,,35587.0,21/9/2018,
83.0,T23-6EHG ,Benzyl Penicillin,Vitamin C,Suspicious,F,,35439.0,17/8/2018,
84.0,T23-2DAF ,Benzyl Penicillin,Vitamin C,Suspicious,F,,34704.0,20/9/2018,
85.0,T23-S2KM ,Benzyl Penicillin,Vitamin C,Suspicious,F,,35034.0,22/9/2018,
86.0,T23-ICW4 ,Benzyl Penicillin,Lactose,Suspicious,F,,30470.0,26/8/2018,
87.0,T23-R6Y2 ,Benzyl Penicillin,Lactose,Suspicious,F,,34711.0,21/9/2018,
88.0,T23-9WW6 ,Benzyl Penicillin,Cellulose,Suspicious,F,,34708.0,22/9/2018,
89.0,T23-M4YX ,Benzyl Penicillin,Cellulose,Suspicious,F,,34255.0,17/8/2018,
90.0,T23-6UT5 ,Benzyl Penicillin,Cellulose,Suspicious,F,,30465.0,20/8/2018,
91.0,T23-1Z9P ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,32017.0,15/9/2018,
92.0,T23-ALTE ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,34729.0,16/9/2018,
93.0,T23-B758 ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,31657.0,10/9/2018,
94.0,T23-BJHR ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,30101.0,9/8/2018,
95.0,T23-JA7V ,Penicillin Procaine,Penicillin Procaine,Suspicious,D,,35459.0,30/8/2018,
96.0,T23-A5EV ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,30526.0,16/8/2018,
97.0,T23-P88O ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,34730.0,12/9/2018,
98.0,T23-ZK0U ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,30520.0,20/8/218,
99.0,T23-4MIL ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,34731.0,12/9/2018,
100.0,T23-TD1X ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,32969.0,14/8/2018,
101.0,T23-L114 ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,31652.0,16/9/2018,
102.0,T23-F81R ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,30096.0,19/8/2018,
103.0,T23-FQHM ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,30521.0,16/8/2018,
104.0,T23-8D8M ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,31648.0,13/9/2018,
105.0,T23-7ZGA ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,34659.0,13/9/2018,
106.0,T23-D1OE ,Penicillin Procaine,Benzyl Penicillin,Penicillin Procaine,,,32971.0,20/8/2018,
107.0,T23-0OGC ,Penicillin Procaine,Lactose,Suspicious,D,,30527.0,10/8/2018,
108.0,T23-9IZA ,Penicillin Procaine,Lactose,Suspicious,D,,35460.0,28/8/2018,
109.0,T23-QGU8 ,Penicillin Procaine,Lactose,Suspicious,D,,33644.0,29/8/2018,
110.0,T23-8ALY ,Penicillin Procaine,Starch,,,,,,
111.0,T23-RNC8 ,Penicillin Procaine,Starch,Suspicious,D,Yes,35457.0,24/8/2018,
112.0,T23-CV15 ,Penicillin Procaine,Paracetamol Starch,Suspicious,D,,35458.0,24/8/2018,
113.0,T23-JHBM ,Penicillin Procaine,Vitamin C,Suspicious,D,,33643.0,26/8/2018,
114.0,T23-39DR ,Penicillin Procaine,Vitamin C,Suspicious,D,,33645.0,30/8/2018,
115.0,T23-L6G6 ,Penicillin Procaine,Vitamin C,Suspicious,D,,32973.0,15/8/2018,
116.0,T23-K4YR ,Penicillin Procaine,Vitamin C,Suspicious,D,,32972.0,20/8/2018,
117.0,T23-JBSR ,Penicillin Procaine,Vitamin C,Suspicious,D,,33646.0,26/8/2018,
118.0,T23-B0ME ,Penicillin Procaine,Vitamin C,Suspicious,D,,33640.0,30/8/2018,
119.0,T23-B7M7 ,Penicillin Procaine,Cellulose,Suspicious,D,,33642.0,30/8/2018,
120.0,T23-147O ,Penicillin Procaine,Cellulose,Suspicious,D,,35446.0,26/8/2018,
121.0,T23-04XD ,Quinine ,Quinine ,Quinine,,,33628.0,24/8/2018,
122.0,T23-MW2P ,Quinine ,Quinine ,Quinine,,,33627.0,24/8/2018,
123.0,T23-IJVE ,Quinine ,Quinine ,Quinine,,,35445.0,27/8/2018,
124.0,T23-IVLB ,Quinine ,Quinine ,Quinine,,,35451.0,27/8/2018,
125.0,T23-MXKQ ,Quinine ,Quinine ,Quinine,,,31650.0,4/9/2018,
126.0,T23-YN4V ,Quinine ,Quinine ,Quinine,,,35444.0,26/8/2018,
127.0,T23-PAN0 ,Quinine ,Quinine ,Quinine,,,35441.0,27/8/2018,
128.0,T23-JKLJ ,Quinine ,Quinine ,Quinine,,,30102.0,14/8/2018,
129.0,T23-EOFS ,Quinine ,Quinine ,Quinine,,,32016.0,4/9/2018,
130.0,T23-H8CW ,Quinine ,Quinine ,Quinine,,,30090.0,11/8/2018,
131.0,T23-FKJ1 ,Quinine ,Quinine ,Quinine,,,35442.0,25/8/2018,
132.0,T23-1Y89 ,Quinine ,Quinine ,Quinine,,,30091.0,10/8/2018,
133.0,T23-JW4G ,Quinine ,Quinine ,Quinine,,,32018.0,5/9/2018,
134.0,T23-KMH2 ,Quinine ,Quinine ,Quinine,,,30094.0,29/8/2018,
135.0,T23-GMXA ,Quinine ,Quinine ,Quinine,,,35453.0,25/8/2018,
136.0,T23-D3DV ,Quinine ,Quinine ,Quinine,,,33624.0,29/8/2018,
137.0,T23-YOL0 ,Quinine ,Starch,Suspicious,D,,35454.0,26/8/2018,
138.0,T23-TS9D ,Quinine ,Vitamin C,Quinine,,,35455.0,30/8/2018,
139.0,T23-AGW8 ,Quinine ,Vitamin C,Suspicious,D,,32023.0,6/9/2018,
140.0,T23-KT17 ,Quinine ,Vitamin C,Suspicious,D,,32022.0,4/9/2018,
141.0,T23-UKUW ,Quinine ,Vitamin C,Suspicious,D,,35452.0,29/8/2018,
142.0,T23-0VOC ,Quinine ,Vitamin C,Suspicious,D,,31695.0,9/9/2018,
143.0,T23-O5GI ,Quinine ,Paracetamol Starch,Suspicious,D,Yes,33629.0,28/8/2018,
144.0,T23-8YA5 ,Quinine ,Paracetamol Starch,Suspicious,D,,32021.0,5/9/2018,
145.0,T23-DOYG ,Quinine ,Lactose,Suspicious,D,,33625.0,2/8/2018,
146.0,T23-TAUT ,Quinine ,Lactose,Suspicious,D,,35450.0,27/8/2018,
147.0,T23-62WQ ,Quinine ,Cellulose,Suspicious,D,,34257.0,13/8/2018,
148.0,T23-5K68 ,Quinine ,Cellulose,Suspicious,D,,31649.0,7/9/2018,
149.0,T23-52D7 ,Quinine ,Cellulose,Suspicious,D,,32019.0,9/9/2018,
150.0,T23-M4IW ,Quinine ,Cellulose,Suspicious,D,,33630.0,27/8/2018,
,,,,,,,,Cells with info,
,,,,,,,,149,
