Analyst,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes,Starch Present?,PAD #,Date Analyzed,Comments
82.0,T24-L0NU ,Benzyl Penicillin,Vitamin C,Suspicious,F,,35546.0,10/9/2018,
83.0,T24-OUVH ,Benzyl Penicillin,Vitamin C,Suspicious,F,,35554.0,10/9/2018,
84.0,T24-CFW4 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,35548.0,10/9/2018,
85.0,T24-CZC1 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,35555.0,10/9/2018,
86.0,T24-57S7 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,33666.0,30/8/2018,
87.0,T24-FJOL ,Benzyl Penicillin,Paracetamol Starch,Suspicious,F,Yes,35562.0,30/8/2018,
88.0,T24-MNEW ,Benzyl Penicillin,Lactose,Suspicious,F,,35549.0,10/9/2018,
89.0,T24-72EY ,Benzyl Penicillin,Cellulose,Suspicious,F,,31608.0,22/8/2018,
90.0,T24-ST2W ,Benzyl Penicillin,Cellulose,Suspicious,F,,36038.0,13/8/2018,
91.0,T24-POJ3 ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,29807.0,10/9/2018,
92.0,T24-Y2DP ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,29800.0,10/9/2018,
93.0,T24-9YW8 ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,36003.0,13/8/2018,
94.0,T24-N7IR ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,32722.0,9/8/2018,
95.0,T24-PQ12 ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,34046.0,30/8/2018,
96.0,T24-DBVG ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,36005.0,10/8/2018,
97.0,T24-D0D2 ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,36015.0,9/8/2018,
98.0,T24-I7NV ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,34048.0,30/8/2018,
99.0,T24-TFMW ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,35025.0,10/9/2018,
100.0,T24-OC2I ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,35558.0,10/9/2018,
101.0,T24-CUJ1 ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,32395.0,22/8/2018,
102.0,T24-6LIA ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,29801.0,10/9/2018,
103.0,T24-I9TE ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,35029.0,10/9/2018,
104.0,T24-8HZX ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,34047.0,30/8/2018,
105.0,T24-IKX2 ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,36027.0,9/8/2018,
106.0,T24-NC80 ,Penicillin Procaine,Benzyl Penicillin,Penicillin Procaine,,,35026.0,10/9/2018,
107.0,T24-ZSE0 ,Penicillin Procaine,Vitamin C,Suspicious,D,,36036.0,13/8/2018,
108.0,T24-ORA0 ,Penicillin Procaine,Vitamin C,Suspicious,D,,35027.0,10/9/2018,
109.0,T24-KPDW ,Penicillin Procaine,Vitamin C,Suspicious,D,,29802.0,10/9/2018,
110.0,T24-DAYQ ,Penicillin Procaine,Vitamin C,Suspicious,D,,36002.0,13/8/2018,
111.0,T24-5JUK ,Penicillin Procaine,Vitamin C,Suspicious,D,,35557.0,10/9/2018,
112.0,T24-R45U ,Penicillin Procaine,Vitamin C,Suspicious,D,,34049.0,30/8/2018,
113.0,T24-MP1C ,Penicillin Procaine,Vitamin C,Suspicious,D,,35556.0,10/9/2018,
114.0,T24-PAJM ,Penicillin Procaine,Vitamin C,Suspicious,D,,29803.0,10/9/2018,
115.0,T24-A0E8 ,Penicillin Procaine,Cellulose,Suspicious,D,,32392.0,22/8/2018,
116.0,T24-3N9A ,Penicillin Procaine,Cellulose,Suspicious,D,,34050.0,30/8/2018,
117.0,T24-RVZR ,Penicillin Procaine,Cellulose,Suspicious,D,,34051.0,30/8/2018,
118.0,T24-1N5L ,Penicillin Procaine,Lactose,Suspicious,D,,34045.0,30/8/2018,
119.0,T24-GTPZ ,Penicillin Procaine,Lactose,Suspicious,D,,32720.0,9/8/2018,
120.0,T24-BSHB ,Penicillin Procaine,Starch,Suspicious,D,Yes,32726.0,22/8/2018,
121.0,T24-C82E ,Quinine ,Quinine ,Quinine,,,36006.0,10/8/2018,
122.0,T24-JOYT ,Quinine ,Quinine ,Quinine,,,35564.0,24/8/2018,
123.0,T24-WF4M ,Quinine ,Quinine ,Quinine,,,36008.0,9/8/2018,
124.0,T24-IG3V ,Quinine ,Quinine ,Quinine,,,36012.0,9/8/2018,
125.0,T24-IAC2 ,Quinine ,Quinine ,Quinine,,,32719.0,9/8/2018,
126.0,T24-EHVF ,Quinine ,Quinine ,Quinine,,,29743.0,24/8/2018,
127.0,T24-V138 ,Quinine ,Quinine ,Quinine,,,36033.0,9/8/2018,
128.0,T24-IERM ,Quinine ,Quinine ,Quinine,,,36034.0,10/8/2018,
129.0,T24-G78S ,Quinine ,Quinine ,Quinine,,,29845.0,24/8/2018,
130.0,T24-E1O6 ,Quinine ,Quinine ,Quinine,,,32723.0,9/8/2018,
131.0,T24-V8BQ ,Quinine ,Quinine ,Quinine,,,29847.0,24/8/2018,
132.0,T24-DXQB ,Quinine ,Quinine ,Quinine,,,32408.0,24/8/2018,
133.0,T24-8B39 ,Quinine ,Quinine ,Quinine,,,31610.0,9/8/2018,
134.0,T24-EAES ,Quinine ,Quinine ,Quinine,,,36024.0,22/8/2018,
135.0,T24-LHAO ,Quinine ,Quinine ,Quinine,,,32727.0,24/8/2018,
136.0,T24-NIXT ,Quinine ,Lactose,Suspicious,D,,35963.0,13/8/2018,
137.0,T24-WNNB ,Quinine ,Vitamin C,Suspicious,D,,36001.0,24/8/2018,
138.0,T24-ZKNU ,Quinine ,Vitamin C,Suspicious,D,,35560.0,24/8/218,
139.0,T24-KDXC ,Quinine ,Vitamin C,Suspicious,D,,35565.0,24/8/2018,
140.0,T24-FZ7I ,Quinine ,Vitamin C,Suspicious,D,,31611.0,24/8/2018,
141.0,T24-XT0M ,Quinine ,Vitamin C,Suspicious,D,,31609.0,22/8/2018,
142.0,T24-WJKR ,Quinine ,Vitamin C,Suspicious,D,,35141.0,10/9/2018,
143.0,T24-39L5 ,Quinine ,Vitamin C,Suspicious,D,,32412.0,22/8/2018,
144.0,T24-EDO2 ,Quinine ,Starch,Suspicious,D,Yes,29844.0,24/8/2018,
145.0,T24-MHJ6 ,Quinine ,Starch,Suspicious,D,Yes,29846.0,24/8/2018,
146.0,T24-NHY3 ,Quinine ,Cellulose,Quinine,,,35962.0,24/8/2018,
147.0,T24-6QJB ,Quinine ,Cellulose,Suspicious,D,,32413.0,22/8/2018,
148.0,T24-RLHQ ,Quinine ,Cellulose,Suspicious,D,,32409.0,22/8/2018,
149.0,T24-5PCO ,Quinine ,Cellulose,Suspicious,D,,32410.0,22/8/2018,
150.0,T24-3NWH ,Quinine ,Cellulose,Suspicious,D,,35566.0,24/8/2018,
,,,,,,,,Cells with info,
,,,,,,,,150,
