Analyst,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes,Starch Present?,PAD #,Date Analyzed,Comments
1.0,T24-LMSH ,Amoxicillin,Amoxicillin,Amoxicillin,,,36032.0,13/8/2018,
2.0,T24-RPSI ,Amoxicillin,Amoxicillin,Amoxicillin,,,35172.0,10/9/2018,
3.0,T24-R8H2 ,Amoxicillin,Amoxicillin,Amoxicillin,,,35629.0,22/8/2018,
4.0,T24-VSQD ,Amoxicillin,Amoxicillin,Amoxicillin,,,34058.0,31/8/2018,
5.0,T24-XTYL ,Amoxicillin,Amoxicillin,Amoxicillin,,,32726.0,22/8/2018,
6.0,T24-NN3Q ,Amoxicillin,Amoxicillin,Amoxicillin,,,36026.0,9/8/2018,
7.0,T24-E4DS ,Amoxicillin,Amoxicillin,Amoxicillin,,,36039.0,13/8/2018,
8.0,T24-FFJ8 ,Amoxicillin,Amoxicillin,Amoxicillin,,,36013.0,9/8/2018,
9.0,T24-FA6T ,Amoxicillin,Amoxicillin,Amoxicillin,,,34059.0,31/8/2018,
10.0,T24-EJ8P ,Amoxicillin,Amoxicillin,Amoxicillin,,,34056.0,31/8/2018,
11.0,T24-8A0V ,Amoxicillin,Amoxicillin,Amoxicillin,,,35964.0,30/8/2018,
12.0,T24-ZQXL ,Amoxicillin,Amoxicillin,Amoxicillin,,,34057.0,31/8/2018,
13.0,T24-LXF7 ,Amoxicillin,Amoxicillin,Amoxicillin,,,34064.0,31/8/2018,
14.0,T24-NC51 ,Amoxicillin,Amoxicillin,Amoxicillin,,,35960.0,30/8/2018,
15.0,T24-ZKWL ,Amoxicillin,Amoxicillin,Amoxicillin,,,34065.0,31/8/2018,
16.0,T24-Q12T ,Amoxicillin,Paracetamol Starch,Suspicious,B,Yes,35961.0,30/8/2018,
17.0,T24-WFC6 ,Amoxicillin,Starch,Suspicious,B,Yes,35637.0,30/8/2018,
18.0,T24-BLPZ ,Amoxicillin,Vitamin C,Suspicious,B,,34075.0,31/8/2018,
19.0,T24-CSGI ,Amoxicillin,Vitamin C,Suspicious,B,,34074.0,31/8/2018,
20.0,T24-BU17 ,Amoxicillin,Vitamin C,Suspicious,B,,35541.0,30/8/2018,
21.0,T24-CPFN ,Amoxicillin,Vitamin C,Suspicious,B,,35542.0,30/8/2018,
22.0,T24-0F7J ,Amoxicillin,Vitamin C,Suspicious,B,,34068.0,31/8/2018,
23.0,T24-C8LK ,Amoxicillin,Vitamin C,Suspicious,B,,34072.0,31/8/2018,
24.0,T24-Y4UH ,Amoxicillin,Vitamin C,Suspicious,B,,35536.0,30/8/2018,
25.0,T24-U5BP ,Amoxicillin,Vitamin C,Suspicious,B,,29806.0,31/8/2018,
26.0,T24-KJ4B ,Amoxicillin,Vitamin C,Suspicious,B,,35543.0,30/8/2018,
27.0,T24-1Z73 ,Amoxicillin,Vitamin C,Suspicious,B,,35538.0,30/8/2018,
28.0,T24-S56K ,Amoxicillin,Lactose,Suspicious,B,,35539.0,30/8/2018,
29.0,T24-J7V7 ,Amoxicillin,Cellulose,Suspicious,B,,34073.0,31/8/2018,
30.0,T24-J5PD ,Amoxicillin,Cellulose,Suspicious,B,,34069.0,31/8/2018,
31.0,T24-84JN ,Paracetamol,Paracetamol,Paracetamol,,,32393.0,22/8/2018,
32.0,T24-47G5 ,Paracetamol,Paracetamol,Paracetamol,,,35169.0,10/9/2018,
33.0,T24-2RH1 ,Paracetamol,Paracetamol,Paracetamol,,,32426.0,24/8/2018,
34.0,T24-WU2C ,Paracetamol,Paracetamol,Paracetamol,,,30049.0,10/8/2018,
35.0,T24-REPW ,Paracetamol,Paracetamol,Paracetamol,,,31612.0,24/8/2018,
36.0,T24-6RS6 ,Paracetamol,Paracetamol,Paracetamol,,,36014.0,9/8/2018,
37.0,T24-AZPA ,Paracetamol,Paracetamol,Paracetamol,,,30048.0,10/8/2018,
38.0,T24-3LOS ,Paracetamol,Paracetamol,Paracetamol,,,32949.0,24/8/2018,
39.0,T24-5R3D ,Paracetamol,Paracetamol,Paracetamol,,,35168.0,10/9/2018,
40.0,T24-65TW ,Paracetamol,Paracetamol,Paracetamol,,,36035.0,10/8/2018,
41.0,T24-ILO5 ,Paracetamol,Paracetamol,Paracetamol,,,36025.0,9/8/2018,
42.0,T24-J1LJ ,Paracetamol,Paracetamol,Paracetamol,,,32394.0,22/8/2018,
43.0,T24-QXB4 ,Paracetamol,Paracetamol,Paracetamol,,,32721.0,9/8/2018,
44.0,T24-5EUR ,Paracetamol,Paracetamol,Paracetamol,,,35630.0,22/8/2018,
45.0,T24-Z3RW ,Paracetamol,Paracetamol,Paracetamol,,,32429.0,24/8/2018,
46.0,T24-U058 ,Paracetamol,Paracetamol,Paracetamol,,,32428.0,24/8/2018,
47.0,T24-Q0X5 ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,32424.0,24/8/2018,
48.0,T24-09YQ ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,32427.0,24/8/2018,
49.0,T24-GNWD ,Paracetamol,Paracetamol Starch,Paracetamol Starch,,Yes,35024.0,10/9/2018,
50.0,T24-SKT2 ,Paracetamol,Paracetamol Starch,Suspicious,K,Yes,35173.0,10/9/2018,
51.0,T24-GNMW ,Paracetamol,Vitamin C,Paracetamol,,,32950.0,24/8/2018,
52.0,T24-BACE ,Paracetamol,Vitamin C,Suspicious,K,,35139.0,10/9/2018,
53.0,T24-UIXA ,Paracetamol,Vitamin C,Paracetamol,,,32431.0,24/8/2018,
54.0,T24-CCCK ,Paracetamol,Vitamin C,Suspicious,K,,35170.0,10/9/2018,
55.0,T24-BWXB ,Paracetamol,Vitamin C,Suspicious,K,,36037.0,13/8/2018,
56.0,T24-AVX1 ,Paracetamol,Vitamin C,Suspicious,K,,35174.0,10/9/2018,
57.0,T24-0U9W ,Paracetamol,Lactose,Suspicious,K,,32951.0,24/8/2018,
58.0,T24-0LD9 ,Paracetamol,Lactose,Paracetamol,,,32948.0,24/8/2018,
59.0,T24-UBW7 ,Paracetamol,Cellulose,Paracetamol,,,35628.0,22/8/2018,
60.0,T24-NKMQ ,Paracetamol,Cellulose,Suspicious,K,,32425.0,24/8/2018,
61.0,T24-LWEH ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,29821.0,10/9/2018,
62.0,T24-M9E3 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35552.0,10/9/2018,
63.0,T24-TWVK ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,36004.0,9/8/2018,
64.0,T24-F42T ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35559.0,10/9/2018,
65.0,T24-MJHW ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,33667.0,30/8/2018,
66.0,T24-DPGG ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35545.0,10/9/2018,
67.0,T24-H360 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,36007.0,10/8/2018,
68.0,T24-3EB3 ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,29822.0,10/9/2018,
69.0,T24-42AB ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35544.0,10/9/2018,
70.0,T24-8EXF ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,29820.0,10/9/2018,
71.0,T24-W6MC ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35551.0,10/9/2018,
72.0,T24-WG9J ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35540.0,30/8/2018,
73.0,T24-M5GE ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35547.0,10/9/2018,
74.0,T24-VDBA ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,36000.0,10/8/2018,
75.0,T24-IZLV ,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,,35563.0,30/8/2018,
76.0,T24-XVG5 ,Benzyl Penicillin,Penicillin Procaine,Benzyl Penicillin,,,35561.0,30/8/2018,
77.0,T24-91S1 ,Benzyl Penicillin,Starch,Suspicious,F,Yes,35553.0,10/9/2018,
78.0,T24-8ARH ,Benzyl Penicillin,Starch,Suspicious,F,Yes,35550.0,10/9/2018,
79.0,T24-6VM7 ,Benzyl Penicillin,Vitamin C,Suspicious,F,,33665.0,30/8/2018,
80.0,T24-ML3X ,Benzyl Penicillin,Vitamin C,Suspicious,F,,33664.0,30/8/2018,
81.0,T24-H8RN ,Benzyl Penicillin,Vitamin C,Suspicious,F,,35723.0,22/8/2018,
