Analyst,Sample ID,Labelled As,Actual Identity,Identified As,Suspicious Because of Lanes,Starch Present?,PAD #,Date Analyzed,Comments
98.0,T25-4YWH ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,30534.0,19/8/2018,
99.0,T25-41GL ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,30576.0,19/8/2018,
100.0,T25-8XZ3 ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,30535.0,19/8/2018,
101.0,T25-1QWQ ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,29784.0,4/9/2018,
102.0,T25-QVZ4 ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,30543.0,19/8/2018,
103.0,T25-BFDD ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,31788.0,9/9/2018,
104.0,T25-TYS8 ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,30540.0,19/8/2018,
105.0,T25-BZPD ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,30542.0,19/8/2018,
106.0,T25-JNDH ,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,,29787.0,4/9/2018,
107.0,T25-MZOT ,Penicillin Procaine,Benzyl Penicillin,Suspicious,D,,30539.0,19/8/2018,Dark color in F
108.0,T25-F47J ,Penicillin Procaine,Lactose,Suspicious,D,,30538.0,19/8/2018,
109.0,T25-SJMN ,Penicillin Procaine,Lactose,Suspicious,D,,29786.0,4/9/2018,
110.0,T25-ZCLA ,Penicillin Procaine,Paracetamol Starch,Suspicious,D,,30541.0,19/8/2018,
111.0,T25-436O ,Penicillin Procaine,Paracetamol Starch,Suspicious,D,,32270.0,4/9/2018,
112.0,T25-CJHS ,Penicillin Procaine,Starch,Suspicious,D,,32902.0,9/9/2018,
113.0,T25-XCZW ,Penicillin Procaine,Cellulose,Suspicious,D,,31785.0,9/9/2018,
114.0,T25-WSCA ,Penicillin Procaine,Cellulose,Suspicious,D,,29788.0,4/9/2018,
115.0,T25-JVXY ,Penicillin Procaine,Vitamin C,Suspicious,D,,30577.0,19/8/2018,
116.0,T25-OUIL ,Penicillin Procaine,Vitamin C,Suspicious,D,,3782.0,9/9/208,
117.0,T25-0A4E ,Penicillin Procaine,Vitamin C,Suspicious,D,,39789.0,4/9/2018,
118.0,T25-G6QC ,Penicillin Procaine,Vitamin C,Suspicious,D,,31787.0,9/9/2018,
119.0,T25-B7ZJ ,Penicillin Procaine,Vitamin C,Suspicious,D,,31783.0,9/9/2018,
120.0,T25-GPC1 ,Penicillin Procaine,Vitamin C,Suspicious,D,,31786.0,9/9/2018,
121.0,T25-6NQR ,Quinine ,Quinine ,Quinine,,,31865.0,19/8/2018,
122.0,T25-EAR3 ,Quinine ,Quinine ,Quinine,,,31815.0,19/8/2018,
123.0,T25-633T ,Quinine ,Quinine ,Quinine,,,31813.0,19/8/2018,
124.0,T25-223D ,Quinine ,Quinine ,Quinine,,,36223.0,5/9/2018,
125.0,T25-3OMT ,Quinine ,Quinine ,Quinine,,,30533.0,9/9/2018,
126.0,T25-FR03 ,Quinine ,Quinine ,Quinine,,,30529.0,9/9/2018,
127.0,T25-W0KQ ,Quinine ,Quinine ,Quinine,,,31864.0,19/8/2018,
128.0,T25-ZDS4 ,Quinine ,Quinine ,Quinine,,,36238.0,5/9/2018,
129.0,T25-9IKR ,Quinine ,Quinine ,Quinine,,,36233.0,5/9/2018,
130.0,T25-P0GD ,Quinine ,Quinine ,Quinine,,,36219.0,5/9/2018,
131.0,T25-748H ,Quinine ,Quinine ,Quinine,,,36217.0,5/9/2018,
132.0,T25-2XEU ,Quinine ,Quinine ,Quinine,,,36236.0,5/9/2018,
133.0,T25-LH5H ,Quinine ,Quinine ,Quinine,,,36239.0,5/9/2018,
134.0,T25-WLKO ,Quinine ,Quinine ,Quinine,,,36232.0,5/9/2018,
135.0,T25-64QL ,Quinine ,Quinine ,Quinine,,,36222.0,5/9/2018,
136.0,T25-MA6X ,Quinine ,Quinine ,Quinine,,,36218.0,5/9/2018,
137.0,T25-MGM1 ,Quinine ,Starch,Suspicious,D,Yes,36237.0,5/9/2018,
138.0,T25-GXF3 ,Quinine ,Starch,Suspicious,D,Yes,31814.0,19/8/2018,No blue in D
139.0,T25-JGF8 ,Quinine ,Starch,Suspicious,D,Yes,30532.0,9/9/2018,
140.0,T25-KUJD ,Quinine ,Lactose,Suspicious,D,,31811.0,19/8/2018,No blue in D
141.0,T25-MJ9Q ,Quinine ,Lactose,Suspicious,D,,31812.0,19/8/2018,No blue in D
142.0,T25-I887 ,Quinine ,Vitamin C,Suspicious,D,,36220.0,5/9/2018,
143.0,T25-HDOD ,Quinine ,Vitamin C,Suspicious,D,,36221.0,5/9/2018,
144.0,T25-NCAH ,Quinine ,Vitamin C,Suspicious,D,,36203.0,5/9/2018,
145.0,T25-E3KG ,Quinine ,Vitamin C,Suspicious,D,,30583.0,19/8/2018,
146.0,T25-FO4W ,Quinine ,Vitamin C,Suspicious,D,,30531.0,9/9/2018,
147.0,T25-AIY1 ,Quinine ,Cellulose,Suspicious,D,,30530.0,9/9/2018,
148.0,T25-PKVI ,Quinine ,Cellulose,Suspicious,D,,30580.0,19/8/2018,
149.0,T25-5DSO ,Quinine ,Cellulose,Suspicious,D,,30582.0,19/8/2018,
150.0,T25-3SVN ,Quinine ,Cellulose,Suspicious,D,,30581.0,19/8/2018,
,,,,,,,,Cells with info,
,,,,,,,,150,
